Municipio,An~o,Poblacion
Loíza,1899,12522
Loíza,1910,13317
Loíza,1920,15804
Loíza,1930,18762
Loíza,1935,20945
Loíza,1940,22145
Loíza,1950,24755
Loíza,1960,28131
Loíza,1970,39062
Loíza,1980,20867
Loíza,1990,29307
Loíza,2000,32537
Loíza,2010,30060
Luquillo,1899,--
Luquillo,1910,--
Luquillo,1920,6251
Luquillo,1930,7799
Luquillo,1935,8243
Luquillo,1940,8851
Luquillo,1950,9967
Luquillo,1960,8582
Luquillo,1970,10390
Luquillo,1980,14895
Luquillo,1990,18100
Luquillo,2000,19817
Luquillo,2010,20068
Manatí,1899,13989
Manatí,1910,17240
Manatí,1920,20100
Manatí,1930,24838
Manatí,1935,27674
Manatí,1940,29366
Manatí,1950,30449
Manatí,1960,29354
Manatí,1970,30559
Manatí,1980,36562
Manatí,1990,38692
Manatí,2000,45409
Manatí,2010,44113
Maricao,1899,8312
Maricao,1910,7158
Maricao,1920,8291
Maricao,1930,6463
Maricao,1935,7505
Maricao,1940,7724
Maricao,1950,7403
Maricao,1960,6990
Maricao,1970,5991
Maricao,1980,6737
Maricao,1990,6206
Maricao,2000,6449
Maricao,2010,6276
Maunabo,1899,6221
Maunabo,1910,7106
Maunabo,1920,7973
Maunabo,1930,9084
Maunabo,1935,10395
Maunabo,1940,10792
Maunabo,1950,11758
Maunabo,1960,10785
Maunabo,1970,10792
Maunabo,1980,11813
Maunabo,1990,12347
Maunabo,2000,12741
Maunabo,2010,12225
Mayagüez,1899,38915
Mayagüez,1910,42429
Mayagüez,1920,41612
Mayagüez,1930,58270
Mayagüez,1935,69655
Mayagüez,1940,76487
Mayagüez,1950,87307
Mayagüez,1960,83850
Mayagüez,1970,85857
Mayagüez,1980,96193
Mayagüez,1990,100371
Mayagüez,2000,98434
Mayagüez,2010,89080
Moca,1899,12410
Moca,1910,13640
Moca,1920,15791
Moca,1930,17089
Moca,1935,19968
Moca,1940,19716
Moca,1950,21614
Moca,1960,21990
Moca,1970,22361
Moca,1980,29185
Moca,1990,32926
Moca,2000,39697
Moca,2010,40109
Morovis,1899,11309
Morovis,1910,12446
Morovis,1920,14660
Morovis,1930,17332
Morovis,1935,19587
Morovis,1940,19167
Morovis,1950,19291
Morovis,1960,18094
Morovis,1970,19059
Morovis,1980,21142
Morovis,1990,25288
Morovis,2000,29965
Morovis,2010,32610
Naguabo,1899,10873
Naguabo,1910,14365
Naguabo,1920,15788
Naguabo,1930,18212
Naguabo,1935,20140
Naguabo,1940,19180
Naguabo,1950,21019
Naguabo,1960,17195
Naguabo,1970,17996
Naguabo,1980,20617
Naguabo,1990,22620
Naguabo,2000,23753
Naguabo,2010,26720
Naranjito,1899,8101
Naranjito,1910,8876
Naranjito,1920,10503
Naranjito,1930,11645
Naranjito,1935,13247
Naranjito,1940,13954
Naranjito,1950,15927
Naranjito,1960,17319
Naranjito,1970,19913
Naranjito,1980,23633
Naranjito,1990,27914
Naranjito,2000,29709
Naranjito,2010,30402
Orocovis,1899,14845
Orocovis,1910,15028
Orocovis,1920,15758
Orocovis,1930,16115
Orocovis,1935,18480
Orocovis,1940,19770
Orocovis,1950,21181
Orocovis,1960,20362
Orocovis,1970,20201
Orocovis,1980,19332
Orocovis,1990,21158
Orocovis,2000,23844
Orocovis,2010,23423
Patillas,1899,11163
Patillas,1910,14448
Patillas,1920,14284
Patillas,1930,14178
Patillas,1935,15723
Patillas,1940,17319
Patillas,1950,18851
Patillas,1960,17106
Patillas,1970,17828
Patillas,1980,17774
Patillas,1990,19633
Patillas,2000,20152
Patillas,2010,19277
Peñuelas,1899,12129
